plot_id,lat,lon,country,incidence_12mo,event,duration
0,7.22936590562509,-7.858401644272686,CI,0,0,16.54637307184975
1,5.944253498173546,-7.37858361750218,CI,0,0,14.984536172925713
2,5.143407333776682,-4.6468779265318485,CI,0,0,15.175872961180623
3,5.057846724349852,-4.764052442128749,CI,0,0,16.714714204282846
4,7.846445837200953,-4.92307444259373,CI,0,0,14.487935096134025
5,8.194644520472027,-6.081612228690583,CI,1,1,9.047953901607235
6,7.12322521518513,-3.0139503210539447,CI,0,0,16.266857267938498
7,7.553237963443994,-3.0958233061188496,CI,0,0,17.59235811968027
8,6.90268747012898,-4.572290077596526,CI,0,0,12.689595799685431
9,8.272753483257189,-4.7477036186609185,CI,1,1,3.9494575161320657
10,7.447560662364596,-0.22812578911589787,GH,1,1,8.661973363857383
11,5.0082155005104445,-1.2165593008689575,GH,0,0,17.807557139547878
12,7.572212829762708,-2.054181533426043,GH,1,1,6.963394392442056
13,5.100756725916393,-0.11908847735953051,GH,0,0,17.181840541473456
14,7.188966339289832,-0.7663307358301047,GH,0,0,17.887170240398067
15,5.5269668618076775,-1.4762018106554464,GH,0,0,17.74326107766578
16,7.58953676704966,-0.8967433158550961,GH,0,0,12.892584073394987
17,6.6243836607472755,0.4353098533517007,GH,1,1,11.955868547117918
18,5.899135671612155,0.5823436026556238,GH,0,0,17.339613334323126
19,6.268061663592976,-1.3192758508600684,GH,0,0,16.934242965258424
